episode,turns,won,opponent_type,rl_total,rl_action_head,rl_target_head,rl_card_select_head,opp_total,opp_action_head,opp_target_head,opp_card_select_head
92802,14,0,ComputerPlayer7,39,37,2,0,0,0,0,0
92815,14,0,ComputerPlayer7,30,28,1,1,0,0,0,0
92772,22,0,ComputerPlayer7,64,58,6,0,0,0,0,0
92806,18,0,ComputerPlayer7,32,32,0,0,0,0,0,0
92834,10,0,ComputerPlayer7,17,14,2,1,0,0,0,0
92823,14,0,ComputerPlayer7,24,23,1,0,0,0,0,0
92801,18,0,ComputerPlayer7,52,39,4,9,0,0,0,0
92825,14,0,ComputerPlayer7,38,38,0,0,0,0,0,0
92830,14,0,ComputerPlayer7,23,22,1,0,0,0,0,0
92826,18,0,ComputerPlayer7,36,34,0,2,0,0,0,0
92778,22,0,ComputerPlayer7,68,54,12,2,0,0,0,0
92769,20,0,ComputerPlayer7,73,66,6,1,0,0,0,0
92816,18,0,ComputerPlayer7,40,39,1,0,0,0,0,0
92805,12,0,ComputerPlayer7,35,33,2,0,0,0,0,0
92792,18,0,ComputerPlayer7,56,48,8,0,0,0,0,0
92782,26,0,ComputerPlayer7,59,49,9,1,0,0,0,0
92765,18,0,ComputerPlayer7,51,46,5,0,0,0,0,0
92839,10,0,ComputerPlayer7,14,13,1,0,0,0,0,0
92818,26,0,ComputerPlayer7,44,40,2,2,0,0,0,0
92819,18,0,ComputerPlayer7,38,33,4,1,0,0,0,0
92789,18,0,ComputerPlayer7,61,57,4,0,0,0,0,0
92822,14,0,ComputerPlayer7,34,26,6,2,0,0,0,0
92845,14,0,ComputerPlayer7,12,8,4,0,0,0,0,0
92833,18,0,ComputerPlayer7,36,29,2,5,0,0,0,0
92811,30,0,ComputerPlayer7,58,54,4,0,0,0,0,0
92857,12,0,ComputerPlayer7,27,27,0,0,0,0,0,0
92820,24,0,ComputerPlayer7,55,49,3,3,0,0,0,0
92838,15,1,ComputerPlayer7,17,15,2,0,0,0,0,0
92808,12,0,ComputerPlayer7,42,41,1,0,0,0,0,0
92844,22,0,ComputerPlayer7,46,45,0,1,0,0,0,0
92853,10,0,ComputerPlayer7,22,21,1,0,0,0,0,0
92812,19,1,ComputerPlayer7,67,59,4,4,0,0,0,0
92831,17,0,ComputerPlayer7,39,33,5,1,0,0,0,0
92852,12,0,ComputerPlayer7,29,29,0,0,0,0,0,0
92836,16,0,ComputerPlayer7,29,25,4,0,0,0,0,0
92832,14,0,ComputerPlayer7,61,60,0,1,0,0,0,0
92840,15,0,ComputerPlayer7,35,29,6,0,0,0,0,0
92855,13,1,ComputerPlayer7,26,24,2,0,0,0,0,0
92828,22,0,ComputerPlayer7,54,43,5,6,0,0,0,0
92842,20,0,ComputerPlayer7,44,40,2,2,0,0,0,0
